"","NBGIF.Open","NBGIF.High","NBGIF.Low","NBGIF.Close","NBGIF.Volume","NBGIF.Adjusted"
"636",112.5,126.389999,112.5,126.389999,27,126.389999
"637",110.445,110.445,105,105,413,105
"638",90,96.375,90,93.75,33,93.75
"639",84,84,84,84,133,84
"640",90.389999,90.389999,90.389999,90.389999,4,90.389999
"641",79.650002,79.650002,79.650002,79.650002,1,79.650002
"642",79.5,79.5,79.5,79.5,27,79.5
"643",68.519997,73.5,66.764999,73.5,37,73.5
"644",67.5,68.400002,65.25,68.400002,183,68.400002
"645",69.839996,69.839996,69.839996,69.839996,17,69.839996
"646",60.959999,69,60.255001,69,57,69
"647",58.275002,58.275002,58.275002,58.275002,50,58.275002
"648",58.275002,58.275002,58.275002,58.275002,0,58.275002
"649",31.5,37.5,15,28.5,396,28.5
"650",36,37.5,36,37.5,136,37.5
"651",30,30,29.25,29.25,387,29.25
"652",12.69,24.9,12.69,24.9,31,24.9
"653",18.75,18.915001,13.65,15,466,15
"654",18,45,12.9,30,8637,30
"655",24.75,63,24.75,37.5,7716,37.5
"656",39,39,21,21.735001,25472,21.735001
"657",10,10.5,7.1,9.9,5865,9.9
"658",8.014,8.014,6,7.625,4210,7.625
"659",7.09,7.65,6.955,7.4,12216,7.4
"660",6.083,6.09,5.2,5.2,9899,5.2
"661",4.6,4.6,3.7,4,26688,4
"662",3.6,4.65,3.6,4.4,10638,4.4
"663",4.4,4.4,3.7,3.7,7065,3.7
"664",2.895,2.895,2.8,2.85,10429,2.85
"665",3.19701,3.225,2.95,3.225,1807,3.225
"666",3.3,3.3,3.025,3.15,1189,3.15
"667",3.35,3.4,3.35,3.4,3898,3.4
"668",3.3,3.31,3.3,3.31,1450,3.31
"669",3.45,3.45,3.4,3.45,664,3.45
"670",3.709,3.85,3.65,3.85,2609,3.85
"671",3.827,3.827,3.787,3.8,2604,3.8
"672",3.749,3.749,3.749,3.749,50,3.749
"673",3.802,3.802,3.484,3.7,2030,3.7
"674",3.6,3.6,3.55,3.55,2333,3.55
"675",3.55,3.8,3.55,3.8,219,3.8
"676",3,3,3,3,134,3
"677",3.35,3.35,3.35,3.35,55,3.35
"678",3.55,3.55,3.3,3.3,40621,3.3
"679",3.3,3.3019,3.3,3.3,68,3.3
"680",3.068,3.312,3,3.0008,2500,3.0008
"681",3,3,3,3,137,3
"682",3,3,3,3,0,3
"683",3.131,3.131,3.131,3.131,1250,3.131
"684",3.09,3.3,3.09,3.3,657,3.3
"685",3.2,3.255,3.2,3.255,1048,3.255
"686",3.005,3.026,2.9264,3.026,689,3.026
"687",2.81,2.81,2.625,2.625,327,2.625
"688",2.622,2.62828,2.585,2.62828,700,2.62828
"689",2.458,2.5,2.458,2.5,16644,2.5
"690",2.797,2.797,2.66,2.66,1082,2.66
"691",2.825,2.825,2.825,2.825,94,2.825
"692",2.75,2.825,2.75,2.825,16400,2.825
"693",2.825,2.825,2.825,2.825,0,2.825
"694",2.687,2.687,2.5349,2.5349,120,2.5349
"695",2.5349,2.5349,2.5349,2.5349,0,2.5349
"696",2.498,2.825,2.497,2.497,577,2.497
"697",2.774,2.774,2.774,2.774,300,2.774
"698",2.559,2.559,2.21,2.21,787,2.21
"699",2.21,2.21,2.21,2.21,0,2.21
"700",2.2,2.232,2.2,2.232,800,2.232
"701",2.133,2.133,2,2,600,2
"702",1.5,1.75,1.5,1.67065,2998,1.67065
"703",1.6707,1.6707,1.6707,1.6707,0,1.6707
"704",1.6707,1.6707,1.6707,1.6707,0,1.6707
"705",1.55,1.55,1.55,1.55,13700,1.55
"706",2.103,2.103,1.825,1.825,1400,1.825
